base_candidate,candidate,origin,depth,learning_rate,l2_leaf_reg,max_iterations,iterations,training_rows,evaluation_rows,fit_seconds,prediction_seconds,pinball_loss,baseline_pinball_loss,pinball_difference,median_mae,median_bias,coverage_90,mean_width_90,mean_absolute_calibration_error,quantile_crossings,invalid_90_intervals
depth4_lr0p04,depth4_lr0p04_l25_trees250,2010-09-01,4,0.04,5,500,250,32136,720,88.97313275,0.00420883299989,6.49491216886,7.706400278,-1.21148810914,17.8075651821,5.6508411851,0.795833333333,59.1649940985,0.0526346801347,16,0
depth4_lr0p04,depth4_lr0p04_l25_trees375,2010-09-01,4,0.04,5,500,375,32136,720,88.97313275,0.00314591699998,6.73457962742,7.706400278,-0.971820650577,18.4668806244,4.29176130864,0.708333333333,52.7104772573,0.0598709315376,243,0
depth4_lr0p04,depth4_lr0p04_l25_trees500,2010-09-01,4,0.04,5,500,500,32136,720,88.97313275,0.00369183399994,6.87227740769,7.706400278,-0.834122870313,18.9241140469,4.18856465834,0.672222222222,48.6092023704,0.0745510662177,680,0
depth4_lr0p04,depth4_lr0p04_l25_trees250,2010-10-01,4,0.04,5,500,250,32856,744,89.009366292,0.00543479099997,4.9981810156,3.510557406,1.4876236096,13.9667613566,-9.63196988709,0.813172043011,55.6224620493,0.231142065819,3,0
depth4_lr0p04,depth4_lr0p04_l25_trees375,2010-10-01,4,0.04,5,500,375,32856,744,89.009366292,0.00370933399995,5.39221579364,3.510557406,1.88165838764,14.9541134684,-10.8988552268,0.725806451613,53.1097295781,0.25509123493,18,0
depth4_lr0p04,depth4_lr0p04_l25_trees500,2010-10-01,4,0.04,5,500,500,32856,744,89.009366292,0.00385500000016,5.58102906556,3.510557406,2.07047165956,15.3574889038,-11.2783955554,0.672043010753,49.7404758547,0.262191810579,77,0
depth4_lr0p04,depth4_lr0p04_l25_trees250,2010-11-01,4,0.04,5,500,250,33600,720,92.349683958,0.00510774999998,5.58367472146,5.645941032,-0.0622663105396,15.4955738555,-3.61068749062,0.881944444444,69.8747488053,0.0758698092031,0,0
depth4_lr0p04,depth4_lr0p04_l25_trees375,2010-11-01,4,0.04,5,500,375,33600,720,92.349683958,0.00397808299999,5.66025406963,5.645941032,0.0143130376253,15.8609988823,-3.85791399993,0.85,64.8883675318,0.0774551066218,2,0
depth4_lr0p04,depth4_lr0p04_l25_trees500,2010-11-01,4,0.04,5,500,500,33600,720,92.349683958,0.00392441700001,5.59945732782,5.645941032,-0.0464837041847,15.7564346301,-2.76705588396,0.836111111111,60.1461083512,0.0601992143659,18,0
depth4_lr0p04,depth4_lr0p04_l25_trees250,2010-12-01,4,0.04,5,500,250,34320,744,93.209148167,0.0652787910001,18.7138570538,21.20801128,-2.49415422618,49.5746002793,46.8978903531,0.466397849462,89.9604087342,0.372895622896,5,0
