origin,feature,loss_function_change
2010-07-01,is_weekend,0.000676653989048
2010-07-01,is_working_day,0
2010-07-01,is_year_end_holiday_period,0.000929305471667
2010-07-01,load_annual_anchor_mean,-0.01851226043
2010-07-01,load_annual_anchor_std,0
2010-07-01,load_daily_slope_28d,-0.0935916130985
2010-07-01,load_how_mean_12w,0
2010-07-01,load_how_mean_4w,-0.00367540560961
2010-07-01,load_how_std_12w,0.000265777562937
2010-07-01,load_lag_364d,-0.0168800141848
2010-07-01,load_lag_728d,0
2010-07-01,load_lag_calendar_1y,0.000443724176119
2010-07-01,load_lag_calendar_2y,0.0949009999377
2010-07-01,load_last_day_same_hour,-0.137107960973
2010-07-01,load_last_day_same_hour_decay_2d,-0.0123670759129
2010-07-01,load_last_same_hour_of_week,0.00138820062565
2010-07-01,load_last_same_hour_of_week_decay_7d,-0.0501538241554
2010-07-01,load_mean_28d,-0.120940864886
2010-07-01,load_mean_28d_minus_90d,-0.0192545716067
2010-07-01,load_mean_365d,0.0165245663625
2010-07-01,load_mean_7d,-0.0381666519578
2010-07-01,load_mean_7d_minus_28d,-0.0263415884164
2010-07-01,load_mean_90d,-0.0520424184446
2010-07-01,load_seasonal_daytype_8d_count,-0.0130397030601
2010-07-01,load_seasonal_daytype_8d_q10,0.162377824187
2010-07-01,load_seasonal_daytype_8d_q25,0.380111826022
2010-07-01,load_seasonal_daytype_8d_q50,0.163647826902
2010-07-01,load_seasonal_daytype_8d_q50_scaled_28d,0.121518367209
2010-07-01,load_seasonal_daytype_8d_q50_shifted_28d,0.0252894409236
2010-07-01,load_seasonal_daytype_8d_q75,1.11875432802
2010-07-01,load_seasonal_daytype_8d_q90,0.976035143841
2010-07-01,load_seasonal_how_15d_count,0.85807272585
2010-07-01,load_seasonal_how_15d_mean,1.44429164069
2010-07-01,load_seasonal_how_15d_std,-0.00938141612244
2010-07-01,load_seasonal_how_30d_mean,2.36302699188
2010-07-01,load_seasonal_how_30d_std,-0.010622006229
2010-07-01,load_seasonal_level_delta_28d,-0.00303712356584
2010-07-01,load_seasonal_level_ratio_28d,-0.0174598711536
2010-07-01,load_std_28d,0.0385363310039
2010-07-01,load_yoy_ratio_28d,-0.0380268207989
2010-07-01,load_yoy_ratio_365d,0.219531185675
2010-07-01,month,0.660311356766
2010-07-01,seasonal_day_cos,-0.15080032197
2010-07-01,seasonal_day_sin,0.174206893478
2010-07-01,temperature_clim_15d_cdd65,0.316659473925
2010-07-01,temperature_clim_15d_hdd65,0.0185032818836
2010-07-01,temperature_clim_15d_max_station,0.230564973453
2010-07-01,temperature_clim_15d_mean,-0.0145236053848
2010-07-01,temperature_clim_15d_min_station,0.159305177408
2010-07-01,temperature_clim_15d_q10,0.167772348545
2010-07-01,temperature_clim_15d_q90,0.0118142126404
2010-07-01,temperature_clim_15d_station_std,0
2010-07-01,temperature_clim_15d_temporal_std,-0.0010076795861
2010-07-01,temperature_recent_anomaly_7d,0.144436995215
2010-07-01,temperature_recent_anomaly_7d_decay_14d,-0.0473889275752
2010-07-01,temperature_recent_mean_1d,0.081728447074
2010-07-01,temperature_recent_mean_28d,-0.00496317581753
2010-07-01,temperature_recent_mean_7d,-0.00437059626791
2010-07-01,temperature_recent_std_7d,-0.0422755220013
2010-09-01,day_of_week,0
2010-09-01,forecast_week,0.0268927029732
2010-09-01,holiday_name,0
2010-09-01,horizon_hours,0.0231527518675
2010-09-01,hour,0.0495294762684
2010-09-01,hour_cos,0
2010-09-01,hour_of_week,0
2010-09-01,hour_sin,0
2010-09-01,is_day_after_holiday,0
2010-09-01,is_day_before_holiday,0
2010-09-01,is_holiday,-0.000902344805681
2010-09-01,is_weekend,0
2010-09-01,is_working_day,0
2010-09-01,is_year_end_holiday_period,0.00081268525363
2010-09-01,load_annual_anchor_mean,0.00896283653452
2010-09-01,load_annual_anchor_std,0.000190438543868
2010-09-01,load_daily_slope_28d,-0.00749330589144
2010-09-01,load_how_mean_12w,0
2010-09-01,load_how_mean_4w,0.0201625730742
2010-09-01,load_how_std_12w,-0.00110055866481
2010-09-01,load_lag_364d,0
2010-09-01,load_lag_728d,-0.00124467703787
2010-09-01,load_lag_calendar_1y,0
2010-09-01,load_lag_calendar_2y,-0.000501560671218
2010-09-01,load_last_day_same_hour,0.0870377378817
2010-09-01,load_last_day_same_hour_decay_2d,-0.0108741685136
2010-09-01,load_last_same_hour_of_week,0
2010-09-01,load_last_same_hour_of_week_decay_7d,0.00729383615359
2010-09-01,load_mean_28d,-0.00448443125145
2010-09-01,load_mean_28d_minus_90d,0.0139754639231
2010-09-01,load_mean_365d,-0.0119705092879
2010-09-01,load_mean_7d,0.0148630556186
2010-09-01,load_mean_7d_minus_28d,0.0107875248482
2010-09-01,load_mean_90d,-0.000798979708228
2010-09-01,load_seasonal_daytype_8d_count,0.055588574306
2010-09-01,load_seasonal_daytype_8d_q10,-0.0388413945688
2010-09-01,load_seasonal_daytype_8d_q25,0.0212644040671
2010-09-01,load_seasonal_daytype_8d_q50,-0.00991626735276
2010-09-01,load_seasonal_daytype_8d_q50_scaled_28d,-0.0234670398279
2010-09-01,load_seasonal_daytype_8d_q50_shifted_28d,0.00212115966381
2010-09-01,load_seasonal_daytype_8d_q75,0.0385191071992
2010-09-01,load_seasonal_daytype_8d_q90,0.127880357064
2010-09-01,load_seasonal_how_15d_count,0.307767185212
2010-09-01,load_seasonal_how_15d_mean,0.290056483765
2010-09-01,load_seasonal_how_15d_std,0.00540033176633
2010-09-01,load_seasonal_how_30d_mean,1.10439608688
2010-09-01,load_seasonal_how_30d_std,0.00307221487946
2010-09-01,load_seasonal_level_delta_28d,-0.00576564326235
2010-09-01,load_seasonal_level_ratio_28d,-0.00579897200488
2010-09-01,load_std_28d,-0.0176413299903
2010-09-01,load_yoy_ratio_28d,0.023123151843
2010-09-01,load_yoy_ratio_365d,-0.0495050455505
2010-09-01,month,-0.0681047541554
2010-09-01,seasonal_day_cos,-0.0049828067607
2010-09-01,seasonal_day_sin,0.0803728397482
2010-09-01,temperature_clim_15d_cdd65,-0.00467514977838
2010-09-01,temperature_clim_15d_hdd65,-0.0020001134483
2010-09-01,temperature_clim_15d_max_station,-0.0102561000071
2010-09-01,temperature_clim_15d_mean,0.0116072688738
2010-09-01,temperature_clim_15d_min_station,-0.00978886894029
2010-09-01,temperature_clim_15d_q10,-0.0104925728109
2010-09-01,temperature_clim_15d_q90,-0.0156838812311
2010-09-01,temperature_clim_15d_station_std,0
2010-09-01,temperature_clim_15d_temporal_std,-0.000164572264612
2010-09-01,temperature_recent_anomaly_7d,-0.0417291948093
2010-09-01,temperature_recent_anomaly_7d_decay_14d,-0.0157004058891
2010-09-01,temperature_recent_mean_1d,0.0278513577633
2010-09-01,temperature_recent_mean_28d,-0.0189832142001
2010-09-01,temperature_recent_mean_7d,0.00892622697899
2010-09-01,temperature_recent_std_7d,0.00608212115652
2010-11-01,day_of_week,0
2010-11-01,forecast_week,-0.0171803537184
2010-11-01,holiday_name,0
2010-11-01,horizon_hours,-0.0302869784157
2010-11-01,hour,-0.0468609938914
2010-11-01,hour_cos,0
2010-11-01,hour_of_week,0
2010-11-01,hour_sin,-0.0198657331586
2010-11-01,is_day_after_holiday,-0.0055835184236
2010-11-01,is_day_before_holiday,0
2010-11-01,is_holiday,0
2010-11-01,is_weekend,0
2010-11-01,is_working_day,0
2010-11-01,is_year_end_holiday_period,0
2010-11-01,load_annual_anchor_mean,-0.0553083159759
2010-11-01,load_annual_anchor_std,0
2010-11-01,load_daily_slope_28d,-0.00262549966057
2010-11-01,load_how_mean_12w,0
2010-11-01,load_how_mean_4w,0.00734604351244
2010-11-01,load_how_std_12w,0
2010-11-01,load_lag_364d,-0.00211050539961
2010-11-01,load_lag_728d,-0.000857377658202
2010-11-01,load_lag_calendar_1y,0
2010-11-01,load_lag_calendar_2y,0.00627136109463
2010-11-01,load_last_day_same_hour,0.119573064765
2010-11-01,load_last_day_same_hour_decay_2d,-0.000536449232087
2010-11-01,load_last_same_hour_of_week,0
2010-11-01,load_last_same_hour_of_week_decay_7d,-0.000406614155082
2010-11-01,load_mean_28d,-0.0497645453759
2010-11-01,load_mean_28d_minus_90d,0.440992334647
2010-11-01,load_mean_365d,0.0156434010308
2010-11-01,load_mean_7d,-0.0181316688215
2010-11-01,load_mean_7d_minus_28d,-0.00451200355483
2010-11-01,load_mean_90d,0.0610801150765
2010-11-01,load_seasonal_daytype_8d_count,-0.0269684054819
2010-11-01,load_seasonal_daytype_8d_q10,-0.0637370870979
2010-11-01,load_seasonal_daytype_8d_q25,-0.0669448939087
2010-11-01,load_seasonal_daytype_8d_q50,-0.0607558552174
2010-11-01,load_seasonal_daytype_8d_q50_scaled_28d,0.0564267068861
2010-11-01,load_seasonal_daytype_8d_q50_shifted_28d,-0.00603265623293
2010-11-01,load_seasonal_daytype_8d_q75,0.157166312327
2010-11-01,load_seasonal_daytype_8d_q90,0.306358856358
2010-11-01,load_seasonal_how_15d_count,-0.209922893781
2010-11-01,load_seasonal_how_15d_mean,0.624455906639
2010-11-01,load_seasonal_how_15d_std,0.0104258923593
2010-11-01,load_seasonal_how_30d_mean,0.117218077833
2010-11-01,load_seasonal_how_30d_std,0.0138709584414
2010-11-01,load_seasonal_level_delta_28d,-7.6245525432e-05
2010-11-01,load_seasonal_level_ratio_28d,-0.00852815758898
2010-11-01,load_std_28d,0.00549932270276
2010-11-01,load_yoy_ratio_28d,-0.109971320421
2010-11-01,load_yoy_ratio_365d,0.178559491868
2010-11-01,month,0.511509097462
2010-11-01,seasonal_day_cos,0.0577221199505
2010-11-01,seasonal_day_sin,-0.0163136116224
2010-11-01,temperature_clim_15d_cdd65,0.00308460390564
2010-11-01,temperature_clim_15d_hdd65,0.00600945382498
2010-11-01,temperature_clim_15d_max_station,0.0594391924729
2010-11-01,temperature_clim_15d_mean,-0.00940951891791
2010-11-01,temperature_clim_15d_min_station,0.00267449680454
2010-11-01,temperature_clim_15d_q10,0.0775954897285
2010-11-01,temperature_clim_15d_q90,0.0563249757112
2010-11-01,temperature_clim_15d_station_std,0
2010-11-01,temperature_clim_15d_temporal_std,0.0595944987489
2010-11-01,temperature_recent_anomaly_7d,-0.116174471633
2010-11-01,temperature_recent_anomaly_7d_decay_14d,0.0194637011421
2010-11-01,temperature_recent_mean_1d,0.0223709974751
2010-11-01,temperature_recent_mean_28d,0.0100656780245
2010-11-01,temperature_recent_mean_7d,-0.212798527094
2010-11-01,temperature_recent_std_7d,-0.563404906088
